NAME,FED_RSSD,CITY
Washington Financial Bank,282075,Washington
"Community Trust Bank, Inc.",509811,Pikeville
Jefferson Bank,45560,San Antonio
Troy Bank & Trust Company,134437,Troy
Crest Savings Bank,172475,Wildwood
Peoples Bank - Cuba,948250,Cuba
The State Bank of Faribault,46053,Faribault
Univest  Bank and Trust Co.,354310,Souderton
American National Bank and Trust Company,958727,Danville
Hometown National Bank,770639,La Salle
International Bank of Chicago,2006024,Chicago
Rock Canyon Bank,1914421,Provo
"Fulton Bank, National Association",474919,Lancaster
1st Source Bank,991340,South Bend
YNB,953852,Yukon
First Palmetto Bank,586072,Camden
"NBT Bank, National Association",702117,Norwich
Farmers and Merchants Bank - Lakeland,763930,Lakeland
Choice Financial Group,826956,Fargo
Stockman Bank of Montana,651859,Miles City
Jonah Bank of Wyoming,3412417,Casper
First Western Bank,34742,Booneville
Peoples Bank - Mendenhall,70638,Mendenhall
Glacier Bank,2634191,Kalispell
"First State Bank of St. Charles, Missouri",345756,St. Charles
Marion State Bank,678454,Marion
"First Montana Bank, Inc.",613156,Missoula
The Middlefield Banking Company,177920,Middlefield
United Bank - Fairfax,365325,Fairfax
Helm Bank USA,1414819,Miami
Riverview Bank,757612,Marysville
American State Bank - Arp,262358,Arp
Miami Savings Bank,367178,Miamitown
The First National Bank of Carmi,209148,Carmi
South Shore Bank,772008,South Weymouth
Denver Savings Bank,220844,Denver
Mabrey Bank,139553,Bixby
UNICO Bank,975153,Mineral Point
Landmark Community Bank - Pittston,2963547,Pittston
Highpoint Community Bank,750341,Hastings
The Citizens Bank of Edmond,172457,Edmond
First Seacoast Bank,119872,Dover
"Community Bank & Trust, Waco, Texas",549862,Waco
West Gate Bank,207050,Lincoln
TrustCo Bank,677176,Glenville
LINKBANK - Camp Hill,2754389,Camp Hill
Farmers Bank and Trust Company,262741,Marion
Wolf River Community Bank,2505424,Hortonville
"Guaranty Bank & Trust, N.A.",112163,Mount Pleasant
Liberty Bank and Trust Company,283438,New Orleans
First Federal Bank - Dickson,220974,Dickson
Peoples Bank - Bellingham,455972,Bellingham
GNB Bank,724744,Grundy Center
Cornhusker Bank,544652,Lincoln
The Riddell National Bank,319047,Brazil
CapStar Bank,3715444,Nashville
Inwood National Bank,913753,Dallas
Armstrong Bank,470452,Muskogee
Sound Community Bank,429487,Seattle
The Moody National Bank,253356,Galveston
"Great Midwest Bank, S.S.B.",524579,Brookfield
First PREMIER Bank,374653,Sioux Falls
Truist Bank,852320,Charlotte
TrailWest Bank,615954,Lolo
Mount Vernon Bank and Trust Company,890649,Mount Vernon
Professional Bank,3816510,Coral Gables
The Security National Bank of Enid,119153,Enid
Heritage Bank National Association,901358,Spicer
Central Bank Illinois,931038,Geneseo
The Harvard State Bank,800134,Harvard
"Servbank,sb",2140348,Oswego
Coastal Carolina National Bank,3821822,Myrtle Beach
The Bank of Brodhead,517441,Brodhead
NexBank,652874,Dallas
Cambridge Trust Company,736206,Cambridge
Crockett National Bank,1015467,San Antonio
Bank of St. Elizabeth,456250,Saint Elizabeth
Bank of Tennessee,340135,Kingsport
Firstrust Savings Bank,932978,Conshohocken
Landmark Community Bank - Collierville,2758024,Collierville
The Guilford Savings Bank,831008,Guilford
Western State Bank,233554,Devils Lake
Minnesota Bank & Trust,3686928,Edina
First Southern Bank - Marion,382649,Marion
BankTennessee,831576,Collierville
Hancock Whitney Bank,463735,Gulfport
Peoples State Bank,431323,New Lexington
Virginia Partners Bank,3688623,Fredericksburg
Slovenian Savings and Loan Association of Franklin-Conemaugh,568377,Conemaugh
